SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
ABUS,4217,Real Estate Process & Tools,26,28,5,15,6,0,0,0,0,0,2,2.9615384615384617,0.9285714285714286,0.07142857142857142,0.19230769230769232,0.5769230769230769,0.23076923076923078,0.0,0.0
ABUS,4501,Small Bsns Building & Running,15,15,13,2,0,0,0,0,0,0,0,3.8666666666666667,1.0,0.0,0.8666666666666667,0.13333333333333333,0.0,0.0,0.0
ABUS,4515,Strat/Mgmt Sustainable Future,21,24,12,5,2,1,0,0,0,1,3,3.238095238095238,0.7916666666666666,0.125,0.5714285714285714,0.23809523809523808,0.09523809523809523,0.047619047619047616,0.047619047619047616
ABUS,4571W,Grant Writ Health & Nonprofit,13,17,5,5,2,0,0,0,0,1,4,3.0,0.7058823529411765,0.23529411764705882,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.0,0.07692307692307693
ABUS,4701,Introduction to Marketing,22,22,17,5,0,0,0,0,0,0,0,3.772727272727273,1.0,0.0,0.7727272727272727,0.22727272727272727,0.0,0.0,0.0
ABUS,4702,Applied Digital Marketing,20,21,8,8,4,0,0,0,0,0,1,3.2,0.9523809523809523,0.047619047619047616,0.4,0.4,0.2,0.0,0.0
ABUS,4705,Leadership & Mgmt Prof Pract,11,13,7,2,2,0,0,0,0,0,2,3.4545454545454546,0.8461538461538461,0.15384615384615385,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,0.0
ACCT,2050,Intr Financial Rptg,737,761,321,320,80,6,0,0,0,10,24,3.270013568521031,0.9474375821287779,0.03153745072273324,0.4355495251017639,0.43419267299864317,0.10854816824966079,0.008141112618724558,0.013568521031207599
ACCT,2050H,Honors:  Intr Financial Rptg,25,26,19,6,0,0,0,0,0,0,1,3.76,0.9615384615384616,0.038461538461538464,0.76,0.24,0.0,0.0,0.0
ACCT,3001,Intro Mgmt Acct,320,342,93,148,59,14,0,0,0,6,22,2.9625,0.8771929824561403,0.06432748538011696,0.290625,0.4625,0.184375,0.04375,0.01875
ACCT,5101,Intermediate Accounting I,218,234,74,103,38,2,0,0,0,1,16,3.13302752293578,0.9188034188034188,0.06837606837606838,0.3394495412844037,0.4724770642201835,0.1743119266055046,0.009174311926605505,0.0045871559633027525
ACCT,5102,Intermediate Accounting II,137,139,64,54,16,1,0,0,0,2,2,3.291970802919708,0.9640287769784173,0.014388489208633094,0.46715328467153283,0.39416058394160586,0.11678832116788321,0.0072992700729927005,0.014598540145985401
ACCT,5125W,Auditing,73,77,43,29,0,1,0,0,0,0,4,3.5616438356164384,0.935064935064935,0.05194805194805195,0.589041095890411,0.3972602739726027,0.0,0.0136986301369863,0.0
ACCT,5126,Internal Auditing,36,36,19,12,5,0,0,0,0,0,0,3.388888888888889,1.0,0.0,0.5277777777777778,0.3333333333333333,0.1388888888888889,0.0,0.0
